鉄道会社,路線名,起点,終点,営業km,乗車km,未乗km,post_add,乗車区間,区間km
いすみ鉄道,いすみ線,大原,上総中野,26.8,0,26.8,post_add,未乗,
流鉄,流山線,馬橋,流山,5.7,0,5.7,post_add,未乗,
北総鉄道,北総線,京成高砂,印旛日本医大,32.3,0,32.3,post_add,未乗,
東葉高速鉄道,東葉高速線,西船橋,東葉勝田台,16.2,0,16.2,post_add,未乗,
芝山鉄道,芝山鉄道線,東成田,芝山千代田,2.2,0,2.2,post_add,未乗,
首都圏新都市鉄道,つくばエクスプレス線,秋葉原,つくば,58.3,0,58.3,post_add,未乗,
東京臨海高速鉄道,りんかい線,新木場,大崎,12.2,0,12.2,post_add,未乗,
江ノ島電鉄,江ノ島電鉄線,鎌倉,藤沢,10,10,0,,鎌倉→藤沢,10
小田急箱根,鉄道線,小田原,強羅,15,0,15,post_add,未乗,
南海電気鉄道,鋼索線,強羅,早雲山,1.2,0,1.2,post_add,未乗,
伊豆箱根鉄道,大雄山線,小田原,大雄山,9.6,0,9.6,post_add,未乗,
伊豆箱根鉄道,駿豆線,三島,修善寺,19.8,0,19.8,post_add,未乗,
横浜高速鉄道,みなとみらい21線,横浜,元町・中華街,4.1,0,4.1,post_add,未乗,
富士山麓電気鉄道,大月線,大月,富士山,23.6,0,23.6,post_add,未乗,
富士山麓電気鉄道,河口湖線,富士山,河口湖,3,0,3,post_add,未乗,
伊豆急行,伊豆急行線,伊東,伊豆急下田,45.7,45.7,0,,伊東←伊豆急下田,45.7
岳南電車,岳南鉄道線,吉原,岳南江尾,9.2,0,9.2,post_add,未乗,
静岡鉄道,静岡清水線,新静岡,新清水,11,0,11,post_add,未乗,
大井川鐵道,大井川本線,金谷,千頭,39.5,0,39.5,post_add,未乗,
大井川鐵道,井川線,千頭,井川,25.5,0,25.5,post_add,未乗,
小田急箱根,鉄道線,新浜松,西鹿島,17.8,0,17.8,post_add,未乗,
天竜浜名湖鉄道,天竜浜名湖線,掛川,新所原,67.7,0,67.7,post_add,未乗,
豊橋鉄道,渥美線,新豊橋,三河田原,18,18,0,,新豊橋←三河田原,18
豊橋鉄道,東田本線,駅前,赤岩口,4.8,0,4.8,post_add,未乗,
豊橋鉄道,東田本線,井原,運動公園前,0.6,0,0.6,post_add,未乗,
名古屋臨海高速鉄道,西名古屋港線,名古屋,金城ふ頭,15.2,0,15.2,post_add,未乗,
愛知環状鉄道,愛知環状鉄道線,岡崎,高蔵寺,45.3,0,45.3,post_add,未乗,
JR東海交通事業,城北線,勝川,枇杷島,11.2,0,11.2,post_add,未乗,
三岐鉄道,三岐線,三岐朝明信号所,西藤原,25.5,0,25.5,post_add,未乗,
三岐鉄道,近鉄連絡線,三岐朝明信号所,近鉄富田,1.1,0,1.1,post_add,未乗,
三岐鉄道,北勢線,西桑名,阿下喜,20.4,0,20.4,post_add,未乗,
伊勢鉄道,伊勢線,河原田,津,22.3,22.3,0,,河原田→津,22.3
伊賀鉄道,伊賀線,伊賀上野,伊賀神戸,16.6,0,16.6,post_add,未乗,
四日市あすなろう鉄道,内部線,あすなろう四日市,内部,5.7,0,5.7,post_add,未乗,
四日市あすなろう鉄道,八王子線,日永,西日野,1.3,0,1.3,post_add,未乗,
樽見鉄道,樽見線,大垣,樽見,34.5,0,34.5,post_add,未乗,
養老鉄道,養老線,桑名,揖斐,57.5,0,57.5,post_add,未乗,
明知鉄道,明知線,恵那,明智,25.1,0,25.1,post_add,未乗,
長良川鉄道,越美南線,美濃太田,北濃,72.1,0,72.1,post_add,未乗,
福井鉄道,福武線,たけふ新,福井駅,20.2,0,20.2,post_add,未乗,
福井鉄道,福武線,福井城址大名町,田原町,1.3,0,1.3,post_add,未乗,
えちぜん鉄道,勝山永平寺線,福井,勝山,27.8,0,27.8,post_add,未乗,
